symptom_category,symptom_name,symptom_description,medicine_name,common_name,potency,dosage,frequency,modalities_better,modalities_worse,keynote_symptoms,miasm,source_material,notes,case_description
Fever,Intermittent fever – malarial type,Intermittent fever with chill; thirst during chill; perspiration relieves,Natrum muriaticum,Common Salt,30C,3–5 pellets,3 times daily (not during paroxysm),"Open air, sweating","Heat, sun, 9–11 am, consolation",Periodic; chill 10–11 am; violent thirst; mapped tongue; grief aetiology,Psora,Sodium chloride NaCl,,
Musculoskeletal,Fracture – healing,To promote healing of fractured bones; periosteal pain,Symphytum officinale,Comfrey,30C,3–5 pellets,Twice daily,Warmth,"Touch, pressure",Promotes union of bones; pricking pain in fractured area; injuries to eyes,Psora,Root Symphytum officinale,Knit-bone remedy,
ENT,Earache – chronic otitis,Chronic ear discharge; offensive pus; worse cold drafts; very sensitive,Hepar sulphuris calcareum,Calcium Sulphide,30C,3–5 pellets,3 times daily,"Warmth, wrapping ears","Cold, draft, touch",Extreme cold and touch sensitivity; splinter-like pains; offensive pus,Psora,Calcium sulphide compound,Protects from cold at all costs,
Respiratory,Pleurisy,Stitching pain in chest; worse breathing and motion; must lie on painful side,Bryonia alba,White Bryony,200C,3–5 pellets,Twice daily,"Rest, lying on painful side, pressure","Motion, deep breath, 9 pm",Dryness; thirst for large quantities; irritable; wants to be left alone,Psora,Root Bryonia alba,Absolute rest is keynote,
Mental,Grief – chronic,Chronic sadness from grief or loss; cannot let go; introvert; no tears,Natrum muriaticum,Common Salt,30C,3–5 pellets,Twice daily (not too frequently),"Open air, fasting, cold bathing","Heat, consolation, 9–11 am",Never well since grief; thirst++; maps tongue; isolated; craves salt,Psora,Sodium chloride NaCl,Chronic grief after Ignatia,
Urinary,Enlarged prostate,Frequent urination; dribbling; must wait for stream; worse cold,Sabal serrulata,Saw Palmetto,30C,3–5 pellets,3 times daily,Warmth,"Cold, night",Enlargement of prostate and mammae; sexual debility; spermatorrhoea,Sycosis,Berries Serenoa repens,Classic BPH remedy,
Neurological,Insomnia – sleepless after loss,"Sleeplessness after grief, disappointment, or loss of loved one",Ignatia amara,St Ignatius Bean,30C,3–5 pellets,At bedtime,"Eating, change of position, warmth","Grief, emotional upset, morning coffee",Silent grief; sighing; lump in throat; contradictory symptoms,Psora,Seeds Strychnos ignatii,Hysterical symptoms; sighing,
Digestive,Constipation,No urge for stool; hard dry stool; ineffectual urging; sedentary lifestyle,Nux vomica,Poison Nut,30C,3–5 pellets,Twice daily,"Open air, damp weather","Morning, mental exertion, stimulants",Constant ineffectual urging; irritable bowel; incomplete evacuation feeling,Psora,Seeds Strychnos nux-vomica,Classic sedentary person remedy,
Fever,Intermittent fever – malarial type,Intermittent fever with chill; thirst during chill; perspiration relieves,Natrum muriaticum,Common Salt,30C,3–5 pellets,3 times daily (not during paroxysm),"Open air, sweating","Heat, sun, 9–11 am, consolation",Periodic; chill 10–11 am; violent thirst; mapped tongue; grief aetiology,Psora,Sodium chloride NaCl,,
Infections,Measles,Early measles; hard dry cough; fever; photophobia; watery eyes,Euphrasia officinalis,Eyebright,30C,3–5 pellets,3 times daily,Dim light,"Light, open air",Acrid eye discharge; photophobia; coryza; cough; fever,Psora,Whole plant Euphrasia officinalis,Consult physician for measles,
